,rates,start_at,base,end_at
2014-08-28,{'USD': 0.9221833450000001},2013-08-31,CAD,2018-09-01
2014-08-29,{'USD': 0.9213357552},2013-08-31,CAD,2018-09-01
2014-09-01,{'USD': 0.920580401},2013-08-31,CAD,2018-09-01
2014-09-02,{'USD': 0.9166841406},2013-08-31,CAD,2018-09-01
2014-09-03,{'USD': 0.9173409598000001},2013-08-31,CAD,2018-09-01
2014-09-04,{'USD': 0.9191384181000001},2013-08-31,CAD,2018-09-01
2014-09-05,{'USD': 0.9192758253000001},2013-08-31,CAD,2018-09-01
2014-09-08,{'USD': 0.9169912883},2013-08-31,CAD,2018-09-01
2014-09-09,{'USD': 0.9109651910000001},2013-08-31,CAD,2018-09-01
2014-09-10,{'USD': 0.9096601703},2013-08-31,CAD,2018-09-01
2014-09-11,{'USD': 0.9081202585},2013-08-31,CAD,2018-09-01
2014-09-12,{'USD': 0.9042657343},2013-08-31,CAD,2018-09-01
2014-09-15,{'USD': 0.9020470901000001},2013-08-31,CAD,2018-09-01
2014-09-16,{'USD': 0.9057144856},2013-08-31,CAD,2018-09-01
2014-09-17,{'USD': 0.9112392742000001},2013-08-31,CAD,2018-09-01
2014-09-18,{'USD': 0.9091037503},2013-08-31,CAD,2018-09-01
2014-09-19,{'USD': 0.9109079311},2013-08-31,CAD,2018-09-01
2014-09-22,{'USD': 0.9087371772},2013-08-31,CAD,2018-09-01
2014-09-23,{'USD': 0.908847374},2013-08-31,CAD,2018-09-01
2014-09-24,{'USD': 0.9027943971},2013-08-31,CAD,2018-09-01
2014-09-25,{'USD': 0.8992642898000001},2013-08-31,CAD,2018-09-01
2014-09-26,{'USD': 0.8999151824},2013-08-31,CAD,2018-09-01
2014-09-29,{'USD': 0.8962037821000001},2013-08-31,CAD,2018-09-01
2014-09-30,{'USD': 0.8950775359},2013-08-31,CAD,2018-09-01
2014-10-01,{'USD': 0.8913643115000001},2013-08-31,CAD,2018-09-01
2014-10-02,{'USD': 0.897917111},2013-08-31,CAD,2018-09-01
2014-10-03,{'USD': 0.8942444003000001},2013-08-31,CAD,2018-09-01
2014-10-06,{'USD': 0.8925273476000001},2013-08-31,CAD,2018-09-01
2014-10-07,{'USD': 0.8970399886},2013-08-31,CAD,2018-09-01
2014-10-08,{'USD': 0.8948411294},2013-08-31,CAD,2018-09-01
2014-10-09,{'USD': 0.9000705219},2013-08-31,CAD,2018-09-01
2014-10-10,{'USD': 0.893081761},2013-08-31,CAD,2018-09-01
2014-10-13,{'USD': 0.891882386},2013-08-31,CAD,2018-09-01
2014-10-14,{'USD': 0.8891232511},2013-08-31,CAD,2018-09-01
2014-10-15,{'USD': 0.8792780285},2013-08-31,CAD,2018-09-01
2014-10-16,{'USD': 0.8825280354},2013-08-31,CAD,2018-09-01
2014-10-17,{'USD': 0.8894977802},2013-08-31,CAD,2018-09-01
2014-10-20,{'USD': 0.8881858007000001},2013-08-31,CAD,2018-09-01
2014-10-21,{'USD': 0.8889662859},2013-08-31,CAD,2018-09-01
2014-10-22,{'USD': 0.8912371858},2013-08-31,CAD,2018-09-01
2014-10-23,{'USD': 0.8916807432},2013-08-31,CAD,2018-09-01
2014-10-24,{'USD': 0.8920442534},2013-08-31,CAD,2018-09-01
2014-10-27,{'USD': 0.8890680878},2013-08-31,CAD,2018-09-01
2014-10-28,{'USD': 0.8922796948},2013-08-31,CAD,2018-09-01
2014-10-29,{'USD': 0.8974774521000001},2013-08-31,CAD,2018-09-01
2014-10-30,{'USD': 0.8951257638000001},2013-08-31,CAD,2018-09-01
2014-10-31,{'USD': 0.8869688385000001},2013-08-31,CAD,2018-09-01
2014-11-03,{'USD': 0.8860283688},2013-08-31,CAD,2018-09-01
2014-11-04,{'USD': 0.8759624808},2013-08-31,CAD,2018-09-01
2014-11-05,{'USD': 0.8738883832000001},2013-08-31,CAD,2018-09-01
2014-11-06,{'USD': 0.8764792381000001},2013-08-31,CAD,2018-09-01
2014-11-07,{'USD': 0.8747176736000001},2013-08-31,CAD,2018-09-01
2014-11-10,{'USD': 0.8840271878},2013-08-31,CAD,2018-09-01
2014-11-11,{'USD': 0.8780212014000001},2013-08-31,CAD,2018-09-01
2014-11-12,{'USD': 0.8836203842},2013-08-31,CAD,2018-09-01
2014-11-13,{'USD': 0.8827156119},2013-08-31,CAD,2018-09-01
2014-11-14,{'USD': 0.8785588131000001},2013-08-31,CAD,2018-09-01
2014-11-17,{'USD': 0.8841717965},2013-08-31,CAD,2018-09-01
2014-11-18,{'USD': 0.8856334041},2013-08-31,CAD,2018-09-01
2014-11-19,{'USD': 0.8811331365},2013-08-31,CAD,2018-09-01
2014-11-20,{'USD': 0.883028169},2013-08-31,CAD,2018-09-01
2014-11-21,{'USD': 0.8881103882},2013-08-31,CAD,2018-09-01
2014-11-24,{'USD': 0.8889048062},2013-08-31,CAD,2018-09-01
2014-11-25,{'USD': 0.8872384489},2013-08-31,CAD,2018-09-01
2014-11-26,{'USD': 0.8874582059},2013-08-31,CAD,2018-09-01
2014-11-27,{'USD': 0.8889522046},2013-08-31,CAD,2018-09-01
2014-11-28,{'USD': 0.8774161805},2013-08-31,CAD,2018-09-01
2014-12-01,{'USD': 0.8772954338000001},2013-08-31,CAD,2018-09-01
2014-12-02,{'USD': 0.8795752212},2013-08-31,CAD,2018-09-01
2014-12-03,{'USD': 0.8786518455000001},2013-08-31,CAD,2018-09-01
2014-12-04,{'USD': 0.8794827833000001},2013-08-31,CAD,2018-09-01
2014-12-05,{'USD': 0.8776712815000001},2013-08-31,CAD,2018-09-01
2014-12-08,{'USD': 0.8738860769000001},2013-08-31,CAD,2018-09-01
2014-12-09,{'USD': 0.8731469716},2013-08-31,CAD,2018-09-01
2014-12-10,{'USD': 0.8735372903},2013-08-31,CAD,2018-09-01
2014-12-11,{'USD': 0.8702471816},2013-08-31,CAD,2018-09-01
2014-12-12,{'USD': 0.8635638482},2013-08-31,CAD,2018-09-01
2014-12-15,{'USD': 0.8624973971000001},2013-08-31,CAD,2018-09-01
2014-12-16,{'USD': 0.8579934301000001},2013-08-31,CAD,2018-09-01
2014-12-17,{'USD': 0.8595497859000001},2013-08-31,CAD,2018-09-01
2014-12-18,{'USD': 0.8622262774},2013-08-31,CAD,2018-09-01
2014-12-19,{'USD': 0.8623498841},2013-08-31,CAD,2018-09-01
2014-12-22,{'USD': 0.8598583152},2013-08-31,CAD,2018-09-01
2014-12-23,{'USD': 0.8592837543},2013-08-31,CAD,2018-09-01
2014-12-24,{'USD': 0.8626800339},2013-08-31,CAD,2018-09-01
2014-12-29,{'USD': 0.8599732074},2013-08-31,CAD,2018-09-01
2014-12-30,{'USD': 0.8604585338},2013-08-31,CAD,2018-09-01
2014-12-31,{'USD': 0.8633293038000001},2013-08-31,CAD,2018-09-01
2015-01-02,{'USD': 0.8559954510000001},2013-08-31,CAD,2018-09-01
2015-01-05,{'USD': 0.848586283},2013-08-31,CAD,2018-09-01
2015-01-06,{'USD': 0.8501498501},2013-08-31,CAD,2018-09-01
2015-01-07,{'USD': 0.8453129466},2013-08-31,CAD,2018-09-01
2015-01-08,{'USD': 0.8463142754},2013-08-31,CAD,2018-09-01
2015-01-09,{'USD': 0.8460216286000001},2013-08-31,CAD,2018-09-01
2015-01-12,{'USD': 0.8405611337000001},2013-08-31,CAD,2018-09-01
2015-01-13,{'USD': 0.8357213789},2013-08-31,CAD,2018-09-01
2015-01-14,{'USD': 0.8357583931},2013-08-31,CAD,2018-09-01
2015-01-15,{'USD': 0.8450378925},2013-08-31,CAD,2018-09-01
2015-01-16,{'USD': 0.83091926},2013-08-31,CAD,2018-09-01
2015-01-19,{'USD': 0.8345318568000001},2013-08-31,CAD,2018-09-01
2015-01-20,{'USD': 0.8324227175000001},2013-08-31,CAD,2018-09-01
2015-01-21,{'USD': 0.8281305808},2013-08-31,CAD,2018-09-01
2015-01-22,{'USD': 0.8094475023000001},2013-08-31,CAD,2018-09-01
2015-01-23,{'USD': 0.8034727703000001},2013-08-31,CAD,2018-09-01
2015-01-26,{'USD': 0.8026268827},2013-08-31,CAD,2018-09-01
2015-01-27,{'USD': 0.8026979056},2013-08-31,CAD,2018-09-01
2015-01-28,{'USD': 0.8051100071},2013-08-31,CAD,2018-09-01
2015-01-29,{'USD': 0.7980111432},2013-08-31,CAD,2018-09-01
2015-01-30,{'USD': 0.7892899532000001},2013-08-31,CAD,2018-09-01
2015-02-02,{'USD': 0.7891431761000001},2013-08-31,CAD,2018-09-01
2015-02-03,{'USD': 0.7946353730000001},2013-08-31,CAD,2018-09-01
2015-02-04,{'USD': 0.8030590051000001},2013-08-31,CAD,2018-09-01
2015-02-05,{'USD': 0.7984604619},2013-08-31,CAD,2018-09-01
2015-02-06,{'USD': 0.8035237962},2013-08-31,CAD,2018-09-01
2015-02-09,{'USD': 0.7999858096},2013-08-31,CAD,2018-09-01
2015-02-10,{'USD': 0.8018881317000001},2013-08-31,CAD,2018-09-01
2015-02-11,{'USD': 0.7929632745},2013-08-31,CAD,2018-09-01
2015-02-12,{'USD': 0.7961765533},2013-08-31,CAD,2018-09-01
2015-02-13,{'USD': 0.7995082543},2013-08-31,CAD,2018-09-01
2015-02-16,{'USD': 0.8030409686000001},2013-08-31,CAD,2018-09-01
2015-02-17,{'USD': 0.8081415929},2013-08-31,CAD,2018-09-01
2015-02-18,{'USD': 0.8032207939},2013-08-31,CAD,2018-09-01
2015-02-19,{'USD': 0.7986953777},2013-08-31,CAD,2018-09-01
2015-02-20,{'USD': 0.802813899},2013-08-31,CAD,2018-09-01
2015-02-23,{'USD': 0.7925084175},2013-08-31,CAD,2018-09-01
2015-02-24,{'USD': 0.7909509845},2013-08-31,CAD,2018-09-01
2015-02-25,{'USD': 0.803768773},2013-08-31,CAD,2018-09-01
2015-02-26,{'USD': 0.80194161},2013-08-31,CAD,2018-09-01
2015-02-27,{'USD': 0.80314398},2013-08-31,CAD,2018-09-01
2015-03-02,{'USD': 0.8004991087000001},2013-08-31,CAD,2018-09-01
2015-03-03,{'USD': 0.7987983692},2013-08-31,CAD,2018-09-01
2015-03-04,{'USD': 0.7990231289},2013-08-31,CAD,2018-09-01
2015-03-05,{'USD': 0.8038489470000001},2013-08-31,CAD,2018-09-01
2015-03-06,{'USD': 0.8022098639},2013-08-31,CAD,2018-09-01
2015-03-09,{'USD': 0.7942079860000001},2013-08-31,CAD,2018-09-01
2015-03-10,{'USD': 0.7915376677},2013-08-31,CAD,2018-09-01
2015-03-11,{'USD': 0.7875223347},2013-08-31,CAD,2018-09-01
