,rates,start_at,base,end_at
2014-05-02,{'USD': 0.0767459114},2013-08-31,MXN,2018-09-01
2014-05-05,{'USD': 0.0766781992},2013-08-31,MXN,2018-09-01
2014-05-06,{'USD': 0.0767579469},2013-08-31,MXN,2018-09-01
2014-05-07,{'USD': 0.0768093802},2013-08-31,MXN,2018-09-01
2014-05-08,{'USD': 0.0771484969},2013-08-31,MXN,2018-09-01
2014-05-09,{'USD': 0.0771383632},2013-08-31,MXN,2018-09-01
2014-05-12,{'USD': 0.07727675910000001},2013-08-31,MXN,2018-09-01
2014-05-13,{'USD': 0.0773455403},2013-08-31,MXN,2018-09-01
2014-05-14,{'USD': 0.0773620549},2013-08-31,MXN,2018-09-01
2014-05-15,{'USD': 0.0774144185},2013-08-31,MXN,2018-09-01
2014-05-16,{'USD': 0.0772319213},2013-08-31,MXN,2018-09-01
2014-05-19,{'USD': 0.0774172062},2013-08-31,MXN,2018-09-01
2014-05-20,{'USD': 0.0773124037},2013-08-31,MXN,2018-09-01
2014-05-21,{'USD': 0.0774563331},2013-08-31,MXN,2018-09-01
2014-05-22,{'USD': 0.07733656230000001},2013-08-31,MXN,2018-09-01
2014-05-23,{'USD': 0.0775586384},2013-08-31,MXN,2018-09-01
2014-05-26,{'USD': 0.0777787285},2013-08-31,MXN,2018-09-01
2014-05-27,{'USD': 0.0776306652},2013-08-31,MXN,2018-09-01
2014-05-28,{'USD': 0.0776278109},2013-08-31,MXN,2018-09-01
2014-05-29,{'USD': 0.0777726356},2013-08-31,MXN,2018-09-01
2014-05-30,{'USD': 0.0778285564},2013-08-31,MXN,2018-09-01
2014-06-02,{'USD': 0.0776670775},2013-08-31,MXN,2018-09-01
2014-06-03,{'USD': 0.0773723456},2013-08-31,MXN,2018-09-01
2014-06-04,{'USD': 0.0772313028},2013-08-31,MXN,2018-09-01
2014-06-05,{'USD': 0.0775496439},2013-08-31,MXN,2018-09-01
2014-06-06,{'USD': 0.077775624},2013-08-31,MXN,2018-09-01
2014-06-09,{'USD': 0.07733971390000001},2013-08-31,MXN,2018-09-01
2014-06-10,{'USD': 0.07666927},2013-08-31,MXN,2018-09-01
2014-06-11,{'USD': 0.0766870645},2013-08-31,MXN,2018-09-01
2014-06-12,{'USD': 0.07696465250000001},2013-08-31,MXN,2018-09-01
2014-06-13,{'USD': 0.0768771976},2013-08-31,MXN,2018-09-01
2014-06-16,{'USD': 0.0766663834},2013-08-31,MXN,2018-09-01
2014-06-17,{'USD': 0.0766960985},2013-08-31,MXN,2018-09-01
2014-06-18,{'USD': 0.0764061021},2013-08-31,MXN,2018-09-01
2014-06-19,{'USD': 0.0770475296},2013-08-31,MXN,2018-09-01
2014-06-20,{'USD': 0.07686085520000001},2013-08-31,MXN,2018-09-01
2014-06-23,{'USD': 0.0770372721},2013-08-31,MXN,2018-09-01
2014-06-24,{'USD': 0.0768076706},2013-08-31,MXN,2018-09-01
2014-06-25,{'USD': 0.0766226384},2013-08-31,MXN,2018-09-01
2014-06-26,{'USD': 0.07679889820000001},2013-08-31,MXN,2018-09-01
2014-06-27,{'USD': 0.0769113487},2013-08-31,MXN,2018-09-01
2014-06-30,{'USD': 0.0771098214},2013-08-31,MXN,2018-09-01
2014-07-01,{'USD': 0.0770031335},2013-08-31,MXN,2018-09-01
2014-07-02,{'USD': 0.0772498685},2013-08-31,MXN,2018-09-01
2014-07-03,{'USD': 0.0769408594},2013-08-31,MXN,2018-09-01
2014-07-04,{'USD': 0.0770801661},2013-08-31,MXN,2018-09-01
2014-07-07,{'USD': 0.07704472920000001},2013-08-31,MXN,2018-09-01
2014-07-08,{'USD': 0.07695269810000001},2013-08-31,MXN,2018-09-01
2014-07-09,{'USD': 0.0769230769},2013-08-31,MXN,2018-09-01
2014-07-10,{'USD': 0.0768405237},2013-08-31,MXN,2018-09-01
2014-07-11,{'USD': 0.07693047680000001},2013-08-31,MXN,2018-09-01
2014-07-14,{'USD': 0.0770061031},2013-08-31,MXN,2018-09-01
2014-07-15,{'USD': 0.0771187401},2013-08-31,MXN,2018-09-01
2014-07-16,{'USD': 0.0772467019},2013-08-31,MXN,2018-09-01
2014-07-17,{'USD': 0.0772649631},2013-08-31,MXN,2018-09-01
2014-07-18,{'USD': 0.07720233580000001},2013-08-31,MXN,2018-09-01
2014-07-21,{'USD': 0.07708317890000001},2013-08-31,MXN,2018-09-01
2014-07-22,{'USD': 0.07706687400000001},2013-08-31,MXN,2018-09-01
2014-07-23,{'USD': 0.0773081936},2013-08-31,MXN,2018-09-01
