,rates,start_at,base,end_at
2015-11-09,{'MXN': 16.8655345212},2013-08-31,USD,2018-09-01
2015-11-10,{'MXN': 16.785454206},2013-08-31,USD,2018-09-01
2015-11-11,{'MXN': 16.70502053},2013-08-31,USD,2018-09-01
2015-11-12,{'MXN': 16.782024986},2013-08-31,USD,2018-09-01
2015-11-13,{'MXN': 16.7800074322},2013-08-31,USD,2018-09-01
2015-11-16,{'MXN': 16.7356150331},2013-08-31,USD,2018-09-01
2015-11-17,{'MXN': 16.7647610122},2013-08-31,USD,2018-09-01
2015-11-18,{'MXN': 16.7548284268},2013-08-31,USD,2018-09-01
2015-11-19,{'MXN': 16.6750257322},2013-08-31,USD,2018-09-01
2015-11-20,{'MXN': 16.5870134731},2013-08-31,USD,2018-09-01
2015-11-23,{'MXN': 16.5854576239},2013-08-31,USD,2018-09-01
2015-11-24,{'MXN': 16.5375082152},2013-08-31,USD,2018-09-01
2015-11-25,{'MXN': 16.550538447},2013-08-31,USD,2018-09-01
2015-11-26,{'MXN': 16.5399547682},2013-08-31,USD,2018-09-01
2015-11-27,{'MXN': 16.55},2013-08-31,USD,2018-09-01
2015-11-30,{'MXN': 16.5959920597},2013-08-31,USD,2018-09-01
2015-12-01,{'MXN': 16.5169811321},2013-08-31,USD,2018-09-01
2015-12-02,{'MXN': 16.5240294007},2013-08-31,USD,2018-09-01
2015-12-03,{'MXN': 16.5549620467},2013-08-31,USD,2018-09-01
2015-12-04,{'MXN': 16.7399559714},2013-08-31,USD,2018-09-01
2015-12-07,{'MXN': 16.7664908872},2013-08-31,USD,2018-09-01
2015-12-08,{'MXN': 17.0570114943},2013-08-31,USD,2018-09-01
2015-12-09,{'MXN': 16.974042592099998},2013-08-31,USD,2018-09-01
2015-12-10,{'MXN': 17.0639678333},2013-08-31,USD,2018-09-01
2015-12-11,{'MXN': 17.3504109589},2013-08-31,USD,2018-09-01
2015-12-14,{'MXN': 17.4099972685},2013-08-31,USD,2018-09-01
2015-12-15,{'MXN': 17.2565059145},2013-08-31,USD,2018-09-01
2015-12-16,{'MXN': 17.1250342998},2013-08-31,USD,2018-09-01
2015-12-17,{'MXN': 16.9402269163},2013-08-31,USD,2018-09-01
2015-12-18,{'MXN': 17.0200258398},2013-08-31,USD,2018-09-01
2015-12-21,{'MXN': 17.1174793008},2013-08-31,USD,2018-09-01
2015-12-22,{'MXN': 17.1114864865},2013-08-31,USD,2018-09-01
2015-12-23,{'MXN': 17.1960425064},2013-08-31,USD,2018-09-01
2015-12-24,{'MXN': 17.2749611766},2013-08-31,USD,2018-09-01
2015-12-28,{'MXN': 17.2730341179},2013-08-31,USD,2018-09-01
2015-12-29,{'MXN': 17.2049853908},2013-08-31,USD,2018-09-01
2015-12-30,{'MXN': 17.2860150101},2013-08-31,USD,2018-09-01
2015-12-31,{'MXN': 17.3734729494},2013-08-31,USD,2018-09-01
2016-01-04,{'MXN': 17.37502294},2013-08-31,USD,2018-09-01
2016-01-05,{'MXN': 17.2899683603},2013-08-31,USD,2018-09-01
2016-01-06,{'MXN': 17.4529882703},2013-08-31,USD,2018-09-01
2016-01-07,{'MXN': 17.6827383143},2013-08-31,USD,2018-09-01
2016-01-08,{'MXN': 17.791271522},2013-08-31,USD,2018-09-01
2016-01-11,{'MXN': 17.8344966936},2013-08-31,USD,2018-09-01
2016-01-12,{'MXN': 17.7899593946},2013-08-31,USD,2018-09-01
2016-01-13,{'MXN': 17.8235022189},2013-08-31,USD,2018-09-01
2016-01-14,{'MXN': 17.9499678693},2013-08-31,USD,2018-09-01
2016-01-15,{'MXN': 18.1304746198},2013-08-31,USD,2018-09-01
2016-01-18,{'MXN': 18.2430224018},2013-08-31,USD,2018-09-01
2016-01-19,{'MXN': 18.1185130659},2013-08-31,USD,2018-09-01
2016-01-20,{'MXN': 18.3759970661},2013-08-31,USD,2018-09-01
2016-01-21,{'MXN': 18.5550353438},2013-08-31,USD,2018-09-01
2016-01-22,{'MXN': 18.5196150999},2013-08-31,USD,2018-09-01
2016-01-25,{'MXN': 18.4900601017},2013-08-31,USD,2018-09-01
2016-01-26,{'MXN': 18.5714681185},2013-08-31,USD,2018-09-01
2016-01-27,{'MXN': 18.3725202057},2013-08-31,USD,2018-09-01
2016-01-28,{'MXN': 18.340456755},2013-08-31,USD,2018-09-01
2016-01-29,{'MXN': 18.31996337},2013-08-31,USD,2018-09-01
2016-02-01,{'MXN': 18.2663542815},2013-08-31,USD,2018-09-01
2016-02-02,{'MXN': 18.3409652899},2013-08-31,USD,2018-09-01
2016-02-03,{'MXN': 18.3936705387},2013-08-31,USD,2018-09-01
2016-02-04,{'MXN': 18.1243084062},2013-08-31,USD,2018-09-01
2016-02-05,{'MXN': 18.2099625067},2013-08-31,USD,2018-09-01
2016-02-08,{'MXN': 18.6600306279},2013-08-31,USD,2018-09-01
2016-02-09,{'MXN': 18.8609825561},2013-08-31,USD,2018-09-01
2016-02-10,{'MXN': 18.7129785911},2013-08-31,USD,2018-09-01
2016-02-11,{'MXN': 19.0415087688},2013-08-31,USD,2018-09-01
2016-02-12,{'MXN': 19.2329933481},2013-08-31,USD,2018-09-01
2016-02-15,{'MXN': 18.8649373882},2013-08-31,USD,2018-09-01
2016-02-16,{'MXN': 18.8480207774},2013-08-31,USD,2018-09-01
2016-02-17,{'MXN': 18.7369791667},2013-08-31,USD,2018-09-01
2016-02-18,{'MXN': 18.2343919163},2013-08-31,USD,2018-09-01
2016-02-19,{'MXN': 18.2883020908},2013-08-31,USD,2018-09-01
2016-02-22,{'MXN': 18.0799927444},2013-08-31,USD,2018-09-01
2016-02-23,{'MXN': 18.085257226},2013-08-31,USD,2018-09-01
2016-02-24,{'MXN': 18.287496585},2013-08-31,USD,2018-09-01
