"Label","Value"
"2015-06-27","420338"
"2015-07-04","650702"
"2015-07-11","664273"
"2015-07-18","679334"
"2015-07-25","638957"
"2015-08-01","616724"
"2015-08-08","602976"
"2015-08-15","666280"
"2015-08-22","703658"
"2015-08-29","737080"
"2015-09-05","558753"
"2015-09-12","713140"
"2015-09-19","675923"
"2015-09-26","941367"
"2015-10-03","957982"
"2015-10-10","751908"
"2015-10-17","661836"
"2015-10-24","542558"
"2015-10-31","682390"
"2015-11-07","763832"
"2015-11-14","655839"
"2015-11-21","595435"
"2015-11-28","622868"
"2015-12-05","822207"
"2015-12-12","777673"
"2015-12-19","914770"
"2015-12-26","625657"
"2016-01-02","554407"
"2016-01-09","763558"
"2016-01-16","937048"
"2016-01-23","1112448"
"2016-01-30","1338961"
"2016-02-06","838040"
"2016-02-13","797460"
"2016-02-20","966474"
"2016-02-27","893773"
"2016-03-05","758731"
"2016-03-12","772897"
"2016-03-19","1268628"
"2016-03-26","701537"
"2016-04-02","836860"
"2016-04-09","734108"
"2016-04-16","779456"
"2016-04-23","678400"
"2016-04-30","883217"
"2016-05-07","1154480"
"2016-05-14","759742"
"2016-05-21","1143213"
"2016-05-28","907077"
"2016-06-04","1194468"
"2016-06-11","918263"
"2016-06-18","1070228"
"2016-06-25","1071822"
"2016-07-02","1255580"
"2016-07-09","1303638"
"2016-07-16","1349304"
"2016-07-23","1121338"
"2016-07-30","941861"
"2016-08-06","837312"
"2016-08-13","1107015"
"2016-08-20","943487"
"2016-08-27","936483"
"2016-09-03","1313044"
"2016-09-10","1113639"
"2016-09-17","1027888"
"2016-09-24","1392095"
"2016-10-01","1078548"
"2016-10-08","989268"
"2016-10-15","1332932"
"2016-10-22","1235630"
"2016-10-29","1120413"
"2016-11-05","1196011"
"2016-11-12","1114385"
"2016-11-19","2567995"
"2016-11-26","1604046"
"2016-12-03","1462128"
"2016-12-10","1586555"
"2016-12-17","1171919"
"2016-12-24","1630546"
"2016-12-31","1480419"
"2017-01-07","1759563"
"2017-01-14","1865298"
"2017-01-21","1474582"
"2017-01-28","1419423"
"2017-02-04","1534136"
"2017-02-11","2592438"
"2017-02-18","2597242"
"2017-02-25","1587945"
"2017-03-04","1994025"
